EQ_ID,year,month,day,hour,minute,second,lat,lat_minute,lon,lon_minute,depth,magnitude,nsta,nearest_sta_dist (km)
5598,1999,2,22,13,48,58.05,23.0,58.5,122,39.27,4.21,5.9,82,103.8
5642,1999,4,4,4,59,2.62,24.0,53.01,121,56.16,88.95,5.82,99,15.0
5728,1999,5,18,3,43,22.06,22.0,9.96,121,23.79,84.34,5.51,99,21.2
5752,1999,6,3,16,11,42.88,24.0,24.22,122,29.21,61.67,6.18,99,68.3
5932,1999,9,20,17,47,15.85,23.0,51.15,120,48.93,8.0,7.3,99,5.5
5933,1999,9,20,17,49,40.07,23.0,58.63,120,49.79,19.74,6.07,99,4.4
5934,1999,9,20,17,51,35.38,24.0,5.55,121,2.39,6.16,5.97,99,12.7
5936,1999,9,20,17,57,15.58,23.0,54.7,121,2.66,7.68,6.44,99,10.1
5937,1999,9,20,17,58,55.13,23.0,54.42,121,3.76,6.97,5.71,99,11.9
5940,1999,9,20,18,3,41.57,23.0,47.81,120,51.65,9.75,6.6,99,2.2
5944,1999,9,20,18,11,54.21,23.0,51.89,121,4.03,12.49,6.7,99,15.2
5946,1999,9,20,18,16,17.95,23.0,51.69,121,2.45,12.53,6.66,99,13.8
6136,1999,9,20,21,46,38.11,23.0,35.08,120,51.42,8.57,6.59,99,9.8
6563,1999,9,22,0,14,40.77,23.0,49.58,121,2.8,15.59,6.8,99,37.4
6576,1999,9,22,0,49,43.45,23.0,45.88,121,1.88,17.38,6.2,99,37.5
6662,1999,9,22,12,17,20.96,23.0,44.36,120,58.87,24.02,6.0,99,18.8
6780,1999,9,23,12,44,34.45,23.0,55.55,121,5.14,18.35,5.63,99,16.1
7010,1999,9,25,23,52,49.63,23.0,51.25,121,0.14,12.06,6.8,99,9.1
7334,1999,9,30,9,49,45.33,24.0,42.09,121,59.86,70.55,5.53,99,18.0
7887,1999,10,22,2,18,56.9,23.0,31.02,120,25.35,16.59,6.4,99,2.1
7906,1999,10,22,3,10,17.46,23.0,31.98,120,25.84,16.74,6.0,99,1.8
8111,1999,11,1,17,53,2.25,23.0,21.71,121,43.55,31.33,6.9,99,27.2
8942,2000,2,15,21,33,18.15,23.0,18.96,120,44.42,14.71,5.59,99,5.1
9288,2000,6,10,18,23,29.45,23.0,54.06,121,6.55,16.21,6.7,99,18.3
9454,2000,7,14,0,7,32.46,24.0,2.9,121,43.7,7.19,5.7,74,12.1
9532,2000,7,28,20,28,7.72,23.0,24.66,120,55.96,7.35,6.1,99,17.0
9670,2000,8,23,0,49,16.58,23.0,38.16,121,38.08,27.48,5.57,99,11.1
9746,2000,9,10,8,54,46.53,24.0,5.12,121,35.03,17.74,6.2,99,1.3
10366,2001,3,1,16,37,50.19,23.0,50.26,120,59.83,10.93,5.8,99,10.5
10565,2001,6,13,13,17,54.15,24.0,22.87,122,36.39,64.41,6.25,99,80.5
10567,2001,6,14,2,35,25.78,24.0,25.13,121,55.68,17.29,6.3,99,14.8
11142,2001,12,18,4,3,0.75,23.0,52.02,122,39.12,12.0,6.7,99,104.8
11256,2002,2,12,3,27,25.0,23.0,44.44,121,43.36,29.98,6.2,99,19.0
11375,2002,3,31,6,52,49.95,24.0,8.39,122,11.49,13.81,6.8,99,49.5
11832,2002,5,15,3,46,5.91,24.0,39.06,121,52.31,8.52,6.2,99,5.0
12079,2002,5,28,16,45,14.97,23.0,54.78,122,23.81,15.23,6.2,99,79.2
12088,2002,5,30,6,53,40.15,24.0,52.39,121,56.97,86.99,5.55,99,20.7
12593,2002,9,16,0,3,30.74,25.0,6.09,122,23.25,175.67,6.8,99,46.0
13338,2003,6,9,1,52,50.57,24.0,22.22,122,1.4,23.22,5.72,99,25.5
13359,2003,6,10,8,40,32.05,23.0,30.22,121,41.95,32.31,6.48,99,21.9
13566,2003,9,10,22,55,6.06,22.0,42.54,121,23.96,85.36,5.76,99,26.4
13754,2003,12,10,4,38,13.52,23.0,4.0,121,23.89,17.73,6.42,99,5.0
14343,2004,2,4,3,23,59.42,23.0,22.84,122,8.98,17.36,5.64,99,69.5
14624,2004,5,16,6,4,8.7,23.0,3.05,121,58.77,12.85,5.72,99,62.4
14638,2004,5,19,7,4,12.94,22.0,42.81,121,22.19,27.08,6.03,99,21.0
14897,2004,10,15,4,8,50.18,24.0,27.74,122,51.1,91.03,7.1,99,101.3
14923,2004,11,8,15,54,55.86,23.0,47.69,122,45.62,10.0,6.58,99,117.4
14932,2004,11,11,2,16,44.5,24.0,18.7,122,9.48,27.26,6.09,99,41.1
15025,2005,1,21,14,28,21.1,24.0,33.35,122,31.86,92.12,5.94,99,69.2
15121,2005,2,18,20,18,18.83,23.0,20.43,121,40.42,15.28,5.6,99,21.9
15158,2005,3,5,19,6,51.73,24.0,39.28,121,50.45,6.39,5.9,99,3.7
15159,2005,3,5,19,8,0.09,24.0,39.19,121,47.86,6.95,5.96,99,1.5
15437,2005,4,30,14,48,17.23,24.0,2.11,121,37.47,8.45,5.62,99,2.1
15704,2005,6,1,16,20,5.66,24.0,38.2,122,3.98,64.78,6.0,99,20.8
15903,2005,9,6,1,16,0.41,23.0,57.49,122,17.01,16.76,6.0,99,67.5
16047,2005,11,29,22,41,49.84,24.0,45.18,122,2.02,68.04,5.51,99,22.8
16216,2006,4,1,10,2,19.54,22.0,53.01,121,4.84,7.2,6.23,99,2.4
16392,2006,4,15,22,40,55.37,22.0,51.33,121,18.21,17.9,6.04,99,7.9
16602,2006,7,28,7,40,10.43,23.0,57.97,122,39.48,27.97,6.02,99,100.7
16826,2006,12,26,12,26,21.0,21.0,41.24,120,33.32,44.11,6.96,99,32.9
16829,2006,12,26,12,34,15.13,21.0,58.19,120,25.18,50.22,6.99,99,30.9
