network,station_code,location_code,latitude,longitude,elevation (m)
TSMIP,,ALS,23.5083,120.8134,2413
TSMIP,,ANP,25.1826,121.5292,826
TSMIP,,ANPB,25.1865,121.5202,825
TSMIP,,AXDP,24.8982,117.966,880
TSMIP,,BAC,24.9975,121.4418,5
TSMIP,,BGSB,24.057,120.6106,107
TSMIP,,CHGB,24.0602,121.174,1850
TSMIP,,CHK,23.0977,121.373,34
TSMIP,,CHKH,23.1917,121.3957,7
TSMIP,,CHN1,23.185,120.5285,217
TSMIP,,CHN2,23.5319,120.4744,45
TSMIP,,CHN3,23.0751,120.3643,50
TSMIP,,CHN4,23.3513,120.594,957
TSMIP,,CHN5,23.5973,120.6776,840
TSMIP,,CHN8,23.3474,120.2227,6
TSMIP,,CHY,23.4963,120.4325,31
TSMIP,C001,CHY001,23.7046,120.2491,8
TSMIP,C002,CHY002,23.7168,120.4201,27
TSMIP,C003,CHY003,23.7149,120.5385,52
TSMIP,C004,CHY004,23.5996,120.1795,2
TSMIP,C005,CHY005,23.61,120.4217,21
TSMIP,C006,CHY006,23.5796,120.5601,173
TSMIP,C008,CHY008,23.4836,120.2776,11
TSMIP,,CHY009,23.4727,120.4164,32
TSMIP,C010,CHY010,23.463,120.5529,211
TSMIP,C011,CHY011,23.4831,120.6544,658
TSMIP,C012,CHY012,23.3304,120.1597,5
TSMIP,,CHY013,23.3561,120.2738,15
TSMIP,C014,CHY014,23.2945,120.5927,260
TSMIP,C015,CHY015,23.3526,120.4138,39
TSMIP,C016,CHY016,23.2191,120.1621,7
TSMIP,C017,CHY017,23.2137,120.2769,8
TSMIP,,CHY018,23.2224,120.4002,130
TSMIP,,CHY020,23.1023,120.1583,7
TSMIP,C021,CHY021,23.0791,120.2957,14
TSMIP,C022,CHY022,23.0441,120.4697,102
TSMIP,C023,CHY023,22.9648,120.2889,26
TSMIP,C024,CHY024,23.7553,120.6156,101
TSMIP,C025,CHY025,23.7774,120.5229,47
